rank:1 |send count:11 | recv count: 11 |total Time:2.473877 |compute Time:0.000011 |commuTime:2.457624|IO Time:0.000000
rank:6 |send count:4 | recv count: 4 |total Time:2.480386 |compute Time:0.000011 |commuTime:2.456010|IO Time:0.000000
rank:7 |send count:15 | recv count: 10 |total Time:2.480427 |compute Time:0.000008 |commuTime:2.447239|IO Time:0.000000
rank:12 |send count:4 | recv count: 4 |total Time:2.503726 |compute Time:0.000009 |commuTime:2.445172|IO Time:0.000000
rank:13 |send count:8 | recv count: 8 |total Time:2.503715 |compute Time:0.000008 |commuTime:2.436261|IO Time:0.000000
rank:18 |send count:15 | recv count: 14 |total Time:2.511964 |compute Time:0.000016 |commuTime:2.433974|IO Time:0.000000
rank:19 |send count:11 | recv count: 11 |total Time:2.511977 |compute Time:0.000011 |commuTime:2.425253|IO Time:0.000000
rank:24 |send count:9 | recv count: 10 |total Time:2.539895 |compute Time:0.000014 |commuTime:2.423061|IO Time:0.000000
rank:25 |send count:5 | recv count: 5 |total Time:2.539912 |compute Time:0.000007 |commuTime:2.414221|IO Time:0.000000
rank:30 |send count:5 | recv count: 5 |total Time:2.545358 |compute Time:0.000013 |commuTime:2.412245|IO Time:0.000000
rank:31 |send count:7 | recv count: 7 |total Time:2.545382 |compute Time:0.000007 |commuTime:2.403777|IO Time:0.000000
rank:37 |send count:15 | recv count: 15 |total Time:2.569530 |compute Time:0.000014 |commuTime:2.393575|IO Time:0.000000
rank:36 |send count:13 | recv count: 10 |total Time:2.569733 |compute Time:0.000015 |commuTime:2.402902|IO Time:0.000000
rank:42 |send count:5 | recv count: 5 |total Time:2.580074 |compute Time:0.000011 |commuTime:2.391014|IO Time:0.000000
rank:43 |send count:4 | recv count: 4 |total Time:2.580155 |compute Time:0.000009 |commuTime:2.382187|IO Time:0.000000
rank:48 |send count:12 | recv count: 11 |total Time:2.601645 |compute Time:0.000012 |commuTime:2.379757|IO Time:0.000000
rank:49 |send count:7 | recv count: 9 |total Time:2.601676 |compute Time:0.000010 |commuTime:2.370886|IO Time:0.000000
rank:54 |send count:15 | recv count: 13 |total Time:2.609928 |compute Time:0.000019 |commuTime:2.368235|IO Time:0.000000
rank:55 |send count:8 | recv count: 10 |total Time:2.609932 |compute Time:0.000005 |commuTime:2.358894|IO Time:0.000000
rank:60 |send count:6 | recv count: 6 |total Time:2.635285 |compute Time:0.000013 |commuTime:2.355767|IO Time:0.000000
rank:61 |send count:12 | recv count: 11 |total Time:2.635366 |compute Time:0.000012 |commuTime:2.346784|IO Time:0.000000
rank:66 |send count:6 | recv count: 6 |total Time:2.641730 |compute Time:0.000013 |commuTime:2.344397|IO Time:0.000000
rank:67 |send count:8 | recv count: 9 |total Time:2.641815 |compute Time:0.000008 |commuTime:2.335682|IO Time:0.000000
rank:72 |send count:18 | recv count: 20 |total Time:2.666379 |compute Time:0.000021 |commuTime:2.334015|IO Time:0.000000
rank:73 |send count:5 | recv count: 5 |total Time:2.666519 |compute Time:0.000008 |commuTime:2.324851|IO Time:0.000000
rank:79 |send count:7 | recv count: 7 |total Time:2.672406 |compute Time:0.000010 |commuTime:2.313065|IO Time:0.000000
rank:78 |send count:5 | recv count: 5 |total Time:2.672365 |compute Time:0.000013 |commuTime:2.321684|IO Time:0.000000
rank:84 |send count:5 | recv count: 5 |total Time:2.697304 |compute Time:0.000012 |commuTime:2.310496|IO Time:0.000000
rank:85 |send count:11 | recv count: 14 |total Time:2.697270 |compute Time:0.000012 |commuTime:2.301567|IO Time:0.000000
rank:90 |send count:7 | recv count: 7 |total Time:2.703655 |compute Time:0.000015 |commuTime:2.298431|IO Time:0.000000
rank:91 |send count:5 | recv count: 5 |total Time:2.703622 |compute Time:0.000009 |commuTime:2.289145|IO Time:0.000000
rank:96 |send count:9 | recv count: 9 |total Time:2.729548 |compute Time:0.000016 |commuTime:2.285897|IO Time:0.000000
rank:97 |send count:7 | recv count: 7 |total Time:2.729681 |compute Time:0.000010 |commuTime:2.277374|IO Time:0.000000
rank:103 |send count:7 | recv count: 7 |total Time:2.736828 |compute Time:0.000010 |commuTime:2.265629|IO Time:0.000000
rank:102 |send count:9 | recv count: 9 |total Time:2.737077 |compute Time:0.000011 |commuTime:2.274873|IO Time:0.000000
rank:108 |send count:12 | recv count: 12 |total Time:2.759452 |compute Time:0.000017 |commuTime:2.262839|IO Time:0.000000
rank:109 |send count:15 | recv count: 15 |total Time:2.759601 |compute Time:0.000014 |commuTime:2.253795|IO Time:0.000000
rank:114 |send count:6 | recv count: 6 |total Time:2.765778 |compute Time:0.000013 |commuTime:2.250265|IO Time:0.000000
rank:115 |send count:23 | recv count: 23 |total Time:2.765767 |compute Time:0.000011 |commuTime:2.241379|IO Time:0.000000
rank:120 |send count:5 | recv count: 6 |total Time:2.793589 |compute Time:0.000011 |commuTime:2.240378|IO Time:0.000000
rank:121 |send count:9 | recv count: 9 |total Time:2.793560 |compute Time:0.000009 |commuTime:2.231348|IO Time:0.000000
rank:126 |send count:6 | recv count: 6 |total Time:2.796624 |compute Time:0.000013 |commuTime:2.228346|IO Time:0.000000
rank:127 |send count:11 | recv count: 11 |total Time:2.796721 |compute Time:0.000011 |commuTime:2.219350|IO Time:0.000000
rank:132 |send count:9 | recv count: 9 |total Time:2.821457 |compute Time:0.000010 |commuTime:2.216372|IO Time:0.000000
rank:133 |send count:5 | recv count: 5 |total Time:2.821814 |compute Time:0.000008 |commuTime:2.207636|IO Time:0.000000
rank:138 |send count:7 | recv count: 7 |total Time:2.830443 |compute Time:0.000011 |commuTime:2.204995|IO Time:0.000000
rank:139 |send count:7 | recv count: 8 |total Time:2.830496 |compute Time:0.000011 |commuTime:2.196383|IO Time:0.000000
rank:144 |send count:7 | recv count: 7 |total Time:2.856797 |compute Time:0.000010 |commuTime:2.194286|IO Time:0.000000
rank:145 |send count:19 | recv count: 18 |total Time:2.856691 |compute Time:0.000011 |commuTime:2.185060|IO Time:0.000000
rank:150 |send count:7 | recv count: 7 |total Time:2.860595 |compute Time:0.000011 |commuTime:2.182368|IO Time:0.000000
rank:151 |send count:5 | recv count: 5 |total Time:2.860732 |compute Time:0.000008 |commuTime:2.173626|IO Time:0.000000
rank:156 |send count:5 | recv count: 5 |total Time:2.885093 |compute Time:0.000009 |commuTime:2.171234|IO Time:0.000000
rank:157 |send count:19 | recv count: 19 |total Time:2.885105 |compute Time:0.000014 |commuTime:2.162225|IO Time:0.000000
rank:163 |send count:8 | recv count: 8 |total Time:2.893078 |compute Time:0.000009 |commuTime:2.150015|IO Time:0.000000
rank:162 |send count:11 | recv count: 10 |total Time:2.893143 |compute Time:0.000012 |commuTime:2.159498|IO Time:0.000000
rank:168 |send count:6 | recv count: 6 |total Time:2.921371 |compute Time:0.000014 |commuTime:2.147519|IO Time:0.000000
rank:169 |send count:15 | recv count: 15 |total Time:2.921274 |compute Time:0.000012 |commuTime:2.138221|IO Time:0.000000
