rank:11 |send count:10 | recv count: 9 |total Time:0.008844 |compute Time:0.000007 |commuTime:0.003601 |Sync Time:0.003787 |IO Time:0.000000
rank:13 |send count:10 | recv count: 9 |total Time:0.009201 |compute Time:0.000004 |commuTime:0.002805 |Sync Time:0.004567 |IO Time:0.000000
rank:14 |send count:37 | recv count: 36 |total Time:0.009202 |compute Time:0.000008 |commuTime:0.003699 |Sync Time:0.003493 |IO Time:0.000000
rank:19 |send count:19 | recv count: 18 |total Time:0.008060 |compute Time:0.000008 |commuTime:0.003607 |Sync Time:0.003534 |IO Time:0.000000
rank:27 |send count:10 | recv count: 9 |total Time:0.008808 |compute Time:0.000006 |commuTime:0.001705 |Sync Time:0.004231 |IO Time:0.000000
rank:28 |send count:10 | recv count: 9 |total Time:0.009032 |compute Time:0.000009 |commuTime:0.003849 |Sync Time:0.002066 |IO Time:0.000000
rank:29 |send count:28 | recv count: 27 |total Time:0.009055 |compute Time:0.000009 |commuTime:0.004299 |Sync Time:0.001608 |IO Time:0.000000
rank:30 |send count:19 | recv count: 18 |total Time:0.009054 |compute Time:0.000009 |commuTime:0.003466 |Sync Time:0.002439 |IO Time:0.000000
rank:32 |send count:19 | recv count: 18 |total Time:0.008920 |compute Time:0.000007 |commuTime:0.003882 |Sync Time:0.002013 |IO Time:0.000000
rank:36 |send count:10 | recv count: 9 |total Time:0.009192 |compute Time:0.000009 |commuTime:0.003038 |Sync Time:0.002426 |IO Time:0.000000
rank:45 |send count:10 | recv count: 9 |total Time:0.008808 |compute Time:0.000006 |commuTime:0.003018 |Sync Time:0.001949 |IO Time:0.000000
rank:46 |send count:10 | recv count: 9 |total Time:0.009206 |compute Time:0.000006 |commuTime:0.002977 |Sync Time:0.001993 |IO Time:0.000000
rank:1 |send count:19 | recv count: 18 |total Time:0.009161 |compute Time:0.000007 |commuTime:0.006560 |Sync Time:0.001623 |IO Time:0.000000
rank:7 |send count:37 | recv count: 36 |total Time:0.009303 |compute Time:0.000008 |commuTime:0.005744 |Sync Time:0.002242 |IO Time:0.000000
rank:8 |send count:19 | recv count: 18 |total Time:0.009297 |compute Time:0.000009 |commuTime:0.005918 |Sync Time:0.002057 |IO Time:0.000000
rank:15 |send count:28 | recv count: 27 |total Time:0.008851 |compute Time:0.000007 |commuTime:0.004956 |Sync Time:0.002339 |IO Time:0.000000
