rank:428 |send count:1997 | recv count: 1996 |total Time:28.357285 |compute Time:0.000239 |commuTime:28.043056 |Sync Time:0.313990 |IO Time:0.000000
rank:475 |send count:1997 | recv count: 1996 |total Time:28.367420 |compute Time:0.000187 |commuTime:28.098448 |Sync Time:0.268785 |IO Time:0.000000
rank:206 |send count:1997 | recv count: 1996 |total Time:28.357385 |compute Time:0.000280 |commuTime:28.040412 |Sync Time:0.316693 |IO Time:0.000000
rank:222 |send count:1997 | recv count: 1996 |total Time:28.359926 |compute Time:0.000225 |commuTime:28.119581 |Sync Time:0.240120 |IO Time:0.000000
rank:230 |send count:1997 | recv count: 1996 |total Time:28.360357 |compute Time:0.000240 |commuTime:28.202404 |Sync Time:0.157713 |IO Time:0.000000
rank:260 |send count:1997 | recv count: 1996 |total Time:28.357706 |compute Time:0.000226 |commuTime:28.063559 |Sync Time:0.293921 |IO Time:0.000000
rank:342 |send count:1997 | recv count: 1996 |total Time:28.360853 |compute Time:0.000247 |commuTime:28.056630 |Sync Time:0.303976 |IO Time:0.000000
rank:354 |send count:1997 | recv count: 1996 |total Time:28.373111 |compute Time:0.000244 |commuTime:28.154327 |Sync Time:0.218540 |IO Time:0.000000
rank:71 |send count:1997 | recv count: 1996 |total Time:28.359432 |compute Time:0.000260 |commuTime:27.998718 |Sync Time:0.360454 |IO Time:0.000000
rank:294 |send count:1997 | recv count: 1996 |total Time:28.368855 |compute Time:0.000270 |commuTime:28.019599 |Sync Time:0.348985 |IO Time:0.000000
rank:399 |send count:1997 | recv count: 1996 |total Time:28.367365 |compute Time:0.000205 |commuTime:28.087973 |Sync Time:0.279187 |IO Time:0.000000
rank:411 |send count:1997 | recv count: 1996 |total Time:28.364884 |compute Time:0.000213 |commuTime:27.887869 |Sync Time:0.476802 |IO Time:0.000000
rank:464 |send count:1997 | recv count: 1996 |total Time:28.367412 |compute Time:0.000210 |commuTime:28.018103 |Sync Time:0.349099 |IO Time:0.000000
rank:484 |send count:1997 | recv count: 1996 |total Time:28.362190 |compute Time:0.000206 |commuTime:27.961792 |Sync Time:0.400193 |IO Time:0.000000
rank:87 |send count:1997 | recv count: 1996 |total Time:28.363443 |compute Time:0.000258 |commuTime:28.056594 |Sync Time:0.306591 |IO Time:0.000000
rank:164 |send count:1997 | recv count: 1996 |total Time:28.356581 |compute Time:0.000265 |commuTime:28.000010 |Sync Time:0.356306 |IO Time:0.000000
rank:286 |send count:1997 | recv count: 1996 |total Time:28.359835 |compute Time:0.000274 |commuTime:28.025414 |Sync Time:0.334147 |IO Time:0.000000
rank:347 |send count:1997 | recv count: 1996 |total Time:28.374196 |compute Time:0.000225 |commuTime:28.088814 |Sync Time:0.285157 |IO Time:0.000000
rank:379 |send count:1997 | recv count: 1996 |total Time:28.364901 |compute Time:0.000196 |commuTime:27.919039 |Sync Time:0.445666 |IO Time:0.000000
rank:383 |send count:1997 | recv count: 1996 |total Time:28.370673 |compute Time:0.000186 |commuTime:28.026798 |Sync Time:0.343689 |IO Time:0.000000
rank:408 |send count:1997 | recv count: 1996 |total Time:28.368583 |compute Time:0.000234 |commuTime:27.927672 |Sync Time:0.440677 |IO Time:0.000000
rank:450 |send count:1997 | recv count: 1996 |total Time:28.359570 |compute Time:0.000242 |commuTime:28.179373 |Sync Time:0.179955 |IO Time:0.000000
rank:466 |send count:1997 | recv count: 1996 |total Time:28.361530 |compute Time:0.000210 |commuTime:28.116749 |Sync Time:0.244572 |IO Time:0.000000
rank:471 |send count:1997 | recv count: 1996 |total Time:28.363190 |compute Time:0.000215 |commuTime:28.025612 |Sync Time:0.337363 |IO Time:0.000000
rank:102 |send count:1997 | recv count: 1996 |total Time:28.357114 |compute Time:0.000287 |commuTime:28.061251 |Sync Time:0.295577 |IO Time:0.000000
rank:127 |send count:1997 | recv count: 1996 |total Time:28.374919 |compute Time:0.000284 |commuTime:28.056822 |Sync Time:0.317813 |IO Time:0.000000
rank:155 |send count:1997 | recv count: 1996 |total Time:28.372121 |compute Time:0.000277 |commuTime:27.954545 |Sync Time:0.417298 |IO Time:0.000000
rank:168 |send count:1997 | recv count: 1996 |total Time:28.358592 |compute Time:0.000281 |commuTime:28.016948 |Sync Time:0.341364 |IO Time:0.000000
rank:226 |send count:1997 | recv count: 1996 |total Time:28.369568 |compute Time:0.000232 |commuTime:28.082695 |Sync Time:0.286641 |IO Time:0.000000
rank:271 |send count:1997 | recv count: 1996 |total Time:28.364811 |compute Time:0.000240 |commuTime:28.040523 |Sync Time:0.324047 |IO Time:0.000000
