rank:1 |send count:1997 | recv count: 1996 |total Time:50.576268 |compute Time:0.000191 |commuTime:50.276433 |Sync Time:0.299644 |IO Time:0.000000
rank:2 |send count:1997 | recv count: 1996 |total Time:50.575864 |compute Time:0.000169 |commuTime:50.324907 |Sync Time:0.250788 |IO Time:0.000000
rank:24 |send count:1997 | recv count: 1996 |total Time:50.577407 |compute Time:0.000247 |commuTime:46.489480 |Sync Time:4.087680 |IO Time:0.000000
rank:8 |send count:1997 | recv count: 1996 |total Time:50.576606 |compute Time:0.000200 |commuTime:49.209820 |Sync Time:1.366586 |IO Time:0.000000
rank:16 |send count:1997 | recv count: 1996 |total Time:50.578617 |compute Time:0.000209 |commuTime:48.380022 |Sync Time:2.198386 |IO Time:0.000000
rank:3 |send count:1997 | recv count: 1996 |total Time:50.575928 |compute Time:0.000181 |commuTime:50.341746 |Sync Time:0.234001 |IO Time:0.000000
rank:25 |send count:1997 | recv count: 1996 |total Time:50.577465 |compute Time:0.000210 |commuTime:46.597702 |Sync Time:3.979554 |IO Time:0.000000
rank:9 |send count:1997 | recv count: 1996 |total Time:50.576671 |compute Time:0.000212 |commuTime:49.140322 |Sync Time:1.436136 |IO Time:0.000000
rank:17 |send count:1997 | recv count: 1996 |total Time:50.578630 |compute Time:0.000196 |commuTime:48.396071 |Sync Time:2.182363 |IO Time:0.000000
rank:4 |send count:1997 | recv count: 1996 |total Time:50.576720 |compute Time:0.000178 |commuTime:50.275850 |Sync Time:0.300692 |IO Time:0.000000
rank:26 |send count:1997 | recv count: 1996 |total Time:50.576573 |compute Time:0.000201 |commuTime:46.620117 |Sync Time:3.956254 |IO Time:0.000000
rank:10 |send count:1997 | recv count: 1996 |total Time:50.576642 |compute Time:0.000191 |commuTime:49.148335 |Sync Time:1.428116 |IO Time:0.000000
rank:18 |send count:1997 | recv count: 1996 |total Time:50.576769 |compute Time:0.000206 |commuTime:48.381408 |Sync Time:2.195155 |IO Time:0.000000
rank:5 |send count:1997 | recv count: 1996 |total Time:50.576812 |compute Time:0.000203 |commuTime:50.224869 |Sync Time:0.351740 |IO Time:0.000000
rank:27 |send count:1997 | recv count: 1996 |total Time:50.576600 |compute Time:0.000211 |commuTime:46.640172 |Sync Time:3.936217 |IO Time:0.000000
rank:19 |send count:1997 | recv count: 1996 |total Time:50.576794 |compute Time:0.000193 |commuTime:48.384696 |Sync Time:2.191904 |IO Time:0.000000
rank:6 |send count:1997 | recv count: 1996 |total Time:50.576843 |compute Time:0.000175 |commuTime:50.336691 |Sync Time:0.239977 |IO Time:0.000000
rank:28 |send count:1997 | recv count: 1996 |total Time:50.577764 |compute Time:0.000215 |commuTime:46.749035 |Sync Time:3.828514 |IO Time:0.000000
