rank:1 |send count:25 | recv count: 24 |total Time:1.932767 |compute Time:0.000020 |commuTime:0.575608 |Sync Time:1.347098 |IO Time:0.000000
rank:8 |send count:25 | recv count: 24 |total Time:1.933009 |compute Time:0.000019 |commuTime:1.210173 |Sync Time:0.692205 |IO Time:0.000000
rank:2 |send count:13 | recv count: 12 |total Time:1.931750 |compute Time:0.000014 |commuTime:0.722600 |Sync Time:1.200004 |IO Time:0.000000
rank:4 |send count:13 | recv count: 12 |total Time:1.932316 |compute Time:0.000012 |commuTime:1.868069 |Sync Time:0.047799 |IO Time:0.000000
rank:9 |send count:13 | recv count: 12 |total Time:1.933047 |compute Time:0.000013 |commuTime:1.676729 |Sync Time:0.218926 |IO Time:0.000000
rank:6 |send count:13 | recv count: 12 |total Time:1.932946 |compute Time:0.000014 |commuTime:0.158946 |Sync Time:1.750162 |IO Time:0.000000
rank:16 |send count:25 | recv count: 24 |total Time:1.933957 |compute Time:0.000016 |commuTime:1.436197 |Sync Time:0.439230 |IO Time:0.000000
rank:17 |send count:49 | recv count: 48 |total Time:1.934242 |compute Time:0.000018 |commuTime:0.762590 |Sync Time:1.106264 |IO Time:0.000000
rank:24 |send count:25 | recv count: 24 |total Time:1.932747 |compute Time:0.000016 |commuTime:0.273554 |Sync Time:1.575074 |IO Time:0.000000
rank:25 |send count:25 | recv count: 24 |total Time:1.932810 |compute Time:0.000019 |commuTime:0.925797 |Sync Time:0.916703 |IO Time:0.000000
rank:32 |send count:13 | recv count: 12 |total Time:1.933375 |compute Time:0.000017 |commuTime:0.651135 |Sync Time:1.172121 |IO Time:0.000000
rank:33 |send count:37 | recv count: 36 |total Time:1.933442 |compute Time:0.000020 |commuTime:1.224953 |Sync Time:0.592170 |IO Time:0.000000
rank:40 |send count:61 | recv count: 60 |total Time:1.932807 |compute Time:0.000019 |commuTime:1.244771 |Sync Time:0.553039 |IO Time:0.000000
