rank:1 |send count:19 | recv count: 18 |total Time:0.007524 |compute Time:0.000007 |commuTime:0.005158 |Sync Time:0.001788 |IO Time:0.000000
rank:6 |send count:28 | recv count: 27 |total Time:0.007761 |compute Time:0.000006 |commuTime:0.003785 |Sync Time:0.003130 |IO Time:0.000000
rank:14 |send count:37 | recv count: 36 |total Time:0.007902 |compute Time:0.000008 |commuTime:0.003660 |Sync Time:0.003117 |IO Time:0.000000
rank:15 |send count:28 | recv count: 27 |total Time:0.007918 |compute Time:0.000007 |commuTime:0.004142 |Sync Time:0.002644 |IO Time:0.000000
rank:19 |send count:19 | recv count: 18 |total Time:0.008049 |compute Time:0.000005 |commuTime:0.003634 |Sync Time:0.003137 |IO Time:0.000000
rank:22 |send count:19 | recv count: 18 |total Time:0.007358 |compute Time:0.000006 |commuTime:0.004356 |Sync Time:0.002395 |IO Time:0.000000
rank:28 |send count:10 | recv count: 9 |total Time:0.007229 |compute Time:0.000007 |commuTime:0.004195 |Sync Time:0.002535 |IO Time:0.000000
rank:41 |send count:37 | recv count: 36 |total Time:0.008046 |compute Time:0.000006 |commuTime:0.003995 |Sync Time:0.002136 |IO Time:0.000000
rank:44 |send count:10 | recv count: 9 |total Time:0.007654 |compute Time:0.000005 |commuTime:0.003559 |Sync Time:0.002563 |IO Time:0.000000
rank:45 |send count:10 | recv count: 9 |total Time:0.007661 |compute Time:0.000004 |commuTime:0.003589 |Sync Time:0.002527 |IO Time:0.000000
rank:47 |send count:28 | recv count: 27 |total Time:0.007120 |compute Time:0.000007 |commuTime:0.003766 |Sync Time:0.002293 |IO Time:0.000000
rank:2 |send count:28 | recv count: 27 |total Time:0.008133 |compute Time:0.000006 |commuTime:0.005547 |Sync Time:0.001485 |IO Time:0.000000
rank:8 |send count:19 | recv count: 18 |total Time:0.007504 |compute Time:0.000008 |commuTime:0.004474 |Sync Time:0.002532 |IO Time:0.000000
rank:17 |send count:37 | recv count: 36 |total Time:0.007757 |compute Time:0.000009 |commuTime:0.003731 |Sync Time:0.003144 |IO Time:0.000000
rank:18 |send count:46 | recv count: 45 |total Time:0.008134 |compute Time:0.000009 |commuTime:0.004274 |Sync Time:0.002583 |IO Time:0.000000
rank:21 |send count:19 | recv count: 18 |total Time:0.007641 |compute Time:0.000008 |commuTime:0.005000 |Sync Time:0.001862 |IO Time:0.000000
rank:25 |send count:37 | recv count: 36 |total Time:0.007736 |compute Time:0.000007 |commuTime:0.004244 |Sync Time:0.002587 |IO Time:0.000000
rank:35 |send count:19 | recv count: 18 |total Time:0.007755 |compute Time:0.000009 |commuTime:0.003249 |Sync Time:0.003017 |IO Time:0.000000
rank:36 |send count:10 | recv count: 9 |total Time:0.007709 |compute Time:0.000006 |commuTime:0.003272 |Sync Time:0.002948 |IO Time:0.000000
rank:39 |send count:19 | recv count: 18 |total Time:0.007900 |compute Time:0.000009 |commuTime:0.003646 |Sync Time:0.002600 |IO Time:0.000000
