  500   124750
    1       2       8
    1       3      29
    1       4      41
    1       5      15
    1       6      31
    1       7      38
    1       8      25
    1       9      33
    1      10      29
    1      11      23
    1      12      37
    1      13      32
    1      14      10
    1      15      41
    1      16      14
    1      17      10
    1      18      48
    1      19      33
    1      20      30
    1      21      41
    1      22      31
    1      23       4
    1      24       4
    1      25      12
    1      26      33
    1      27      18
    1      28      25
    1      29      13
    1      30      35
    1      31      23
    1      32      31
    1      33      48
    1      34      30
    1      35      32
    1      36      21
    1      37       7
    1      38       4
    1      39       2
    1      40      22
    1      41      28
    1      42      38
    1      43      48
    1      44      44
    1      45       3
    1      46      42
    1      47       5
    1      48      23
    1      49      18
    1      50      23
    1      51      48
    1      52      48
    1      53      22
    1      54      44
    1      55      43
    1      56      34
    1      57      34
    1      58      44
    1      59      43
    1      60       9
    1      61      35
    1      62      50
    1      63       8
    1      64      50
    1      65      38
    1      66      11
    1      67      27
    1      68      15
    1      69      37
    1      70      22
    1      71      47
    1      72       6
    1      73      43
    1      74      49
    1      75      47
    1      76      16
    1      77      14
    1      78      41
    1      79       4
    1      80      33
    1      81      40
    1      82      39
    1      83      16
    1      84      13
    1      85       6
    1      86       7
    1      87       1
    1      88      15
    1      89      43
    1      90       2
    1      91      19
    1      92      17
    1      93      41
    1      94      16
    1      95      49
    1      96      35
    1      97      14
    1      98      32
    1      99       6
    1     100      18
    1     101      26
    1     102      49
    1     103      46
    1     104      32
    1     105      21
    1     106      30
    1     107      30
    1     108      46
    1     109      24
    1     110      10
    1     111      36
    1     112      43
    1     113      17
    1     114      47
    1     115      26
    1     116      39
    1     117       2
    1     118      36
    1     119      21
    1     120      10
    1     121      38
    1     122       9
    1     123      44
    1     124      41
    1     125      47
    1     126      14
    1     127      48
    1     128      41
    1     129      43
    1     130      47
    1     131      31
    1     132      42
    1     133      41
    1     134      14
    1     135      10
    1     136      15
    1     137      24
    1     138      49
    1     139      27
    1     140      11
    1     141      35
    1     142      30
    1     143      16
    1     144       5
    1     145      10
    1     146      39
    1     147      46
    1     148      27
    1     149      18
    1     150      17
    1     151      15
    1     152      26
    1     153       5
    1     154      20
    1     155      38
    1     156      27
    1     157      48
    1     158      21
    1     159      27
    1     160       9
    1     161       7
    1     162      46
    1     163      26
    1     164      10
    1     165      14
    1     166      49
    1     167       7
    1     168      44
    1     169      45
    1     170      17
    1     171      45
    1     172      10
