 5000   25000
    1    1641      91
    1    1762      57
    1    2446      51
    1    2498      72
    1    3464       5
    1    4216      65
    1    4598      74
    2     329      75
    2     356      52
    2     738      62
    2    1705      89
    2    1744      59
    2    2594      14
    2    3176      35
    2    3217      23
    2    3647     100
    2    4193      59
    2    4309      96
    2    4397      17
    3      98       2
    3     343      82
    3     644      20
    3     759      65
    3    1338      88
    3    1907      32
    3    2174      95
    3    3100      21
    3    3388      89
    3    3798      77
    3    4071      18
    3    4509       8
    3    4615      54
    3    4733      73
    3    4750       8
    3    4942      29
    4     544      41
    4    1058      30
    4    1146      88
    4    1272      22
    4    3609      63
    4    3740      93
    4    4840       8
    5     817      29
    5    2089      82
    5    2410      29
    5    2874      84
    5    2952      83
    5    3694      44
    5    4128      41
    6    1380      80
    6    1595      56
    6    1667      70
    6    1743      84
    6    2178      98
    6    3150      44
    6    3736      56
    6    3943      83
    6    3947      94
    6    4071      37
    6    4109      63
    6    4935      90
    7     339      85
    7     612      80
    7    2308      76
    7    2557      28
    7    2856      68
    7    3366      58
    7    4168      22
    8      72      83
    8     225      61
    8     257       9
    8     583      91
    8     841      14
    8     989      63
    8    1563      38
    8    2957      25
    8    3338      88
    8    3750      55
    8    4823      85
    9     176      51
    9     265      98
    9    1088       6
    9    1092      55
    9    1976       9
    9    2005      52
    9    2288      19
    9    2353      84
    9    2496      27
    9    2669      85
    9    2816      53
    9    3299      67
    9    3322      17
    9    3482      59
    9    3809      83
    9    3870      71
    9    4585      51
   10     478      64
   10     808      10
   10    2881      89
   10    2890      89
   10    3057      48
   10    3142      69
   10    3210      96
   10    4246      46
   10    4691      92
   11     190      85
   11     286      54
   11     752      80
   11    1408       5
   11    3013      49
   11    3097      69
   11    4439      77
   11    4655      61
   11    4829      32
   11    4977      20
   12     401      99
   12     631       3
   12    2841      79
   12    3740      56
   13     607      14
   13    1347      63
   13    1524      68
   13    1744      22
   13    1767      55
   13    3240      43
   13    4944      41
   13    4986      19
   14     541      25
   14    1507      54
   14    1626      49
