 5000    5100
    1     672      59
    1     844      25
    1    3347      50
    2     787      54
    2    2001      85
    2    3333      92
    2    4147      46
    2    4264      40
    3    4698       6
    4    4887      39
    5    1507      57
    6    3038      80
    6    4557      15
    7    4286      79
    8      85      88
    8      88      40
    8    2323       5
    8    3315      87
    8    3838      61
    8    4063       2
    8    4329      89
    8    4705      70
    9    1711      17
    9    2102      57
    9    4760      28
   10     202      81
   10    1947      23
   11    4833      68
   12    3360      38
   13    3531      82
   14    2672      29
   14    3510      22
   15     921      31
   16    1814      84
   16    2081      84
   16    2435      60
   16    3587      57
   17    2041      93
   18    1212      84
   18    4904      95
   19     194      28
   19     792      31
   19    2166       4
   20    3544      21
   20    3713      77
   21    4722      80
   22    3511      15
   23    1289      41
   23    1543      56
   24    1012      21
   24    1856      60
   25    1474      34
   26     609      97
   26     738      87
   26    1442      20
   26    2416      41
   26    3712      71
   27     202      81
   27     362      64
   27    1845       5
   27    4650      76
   28     484      36
   28    1540      97
   28    2052      66
   28    2861      47
   28    3060      85
   29    2576      56
   29    3674      12
   30     746      11
   31    1462      36
   31    3152      36
   32    4201      97
   33    2246      64
   33    4944      58
   34     789      93
   34    1525       6
   35    3811       1
   35    4443      85
   36    2485      68
   37     918      25
   37    1574      21
   37    1629      59
   37    2381       4
   37    4539      91
   38    3578      49
   38    4097      45
   39     576      56
   39    1978      60
   39    3259       6
   40    1280      10
   40    4833      82
   41    1729      76
   41    2929      13
   41    4569      40
   42    3185      66
   43    1276      10
   43    1948      49
   43    2131      29
   43    3389      78
   44      65      73
   45     614      73
   46    2360      21
   46    4372       6
   47    2283      22
   48     282      65
   48    3368      79
   49    4864      48
   50    3766      89
   51     293      85
   51    1306      27
   51    2739      17
   51    3414      86
   51    4794      74
   51    4936      64
   52    4429      75
   52    4449      20
   53    4422      71
   53    4515      33
   53    4824      49
   54    1979      46
   55    3472      41
   56    2386      69
   57    4242      15
   58    2839      30
   58    3349      35
   59    2608      74
   60    4946      22
   61     216      15
   61     489      14
   61     629      73
   61     903      64
   61    2608      48
   61    4791       8
   61    4923      14
   62    1709      16
   62    4021      43
   62    4679       8
   63    1691       2
   64     328      22
   64    1795      23
   65     143      55
   65    1412      30
   65    1770      13
   65    4324      82
   65    4826       5
   66    2348      61
   66    2652      28
   66    3171      57
   66    4670       1
   66    4879      69
   67     976      18
   68     848      51
   68    1131      27
   68    3862      46
   69      74       4
   69    2714      21
   69    4011      74
   70     779      40
   70    1564      74
   70    2160     100
   70    4556      58
   70    4676      97
   71    1147      70
   72     876      94
   72    1505      65
   72    2734      91
   73     758      89
   74     340      77
   74     988      56
   75     481      76
   75    1316       6
   75    2346      12
   75    3257      29
   75    3429      62
   75    3720      68
   76     974      70
   77    2411      42
   77    3238      42
   78    3345      11
   79     424      30
   79    4667       1
   79    4860      60
   80    1036      57
   81    3737      60
   82    2218      57
   83    2393      57
   84     490      38
   85     240      99
   85    1278      64
   85    1653      88
   86    1794      68
   87    2093       1
   88    1076       5
   88    1279      71
   88    1753      85
   88    2017      97
   88    2851      77
   88    3858      64
   89    2211      72
   89    4040      12
   89    4363      46
   89    4755      69
   90    2090      88
   90    3046      50
   91    4896      31
   92     460       2
   92    1073      13
   93    1452      58
   93    2078      81
   93    3665      70
   93    4687      95
   94    1535      15
   94    1698       6
   95    1846      66
   95    2942      75
   96    1718      76
   97    3757      99
   98    4011     100
   99    3260       4
   99    3591       2
  100    2318      57
  100    2772      45
  101    2295      61
  102    2772      39
  102    3628      97
  102    4112      31
  103    4722      74
  104    1019      33
  104    3197      12
  104    3740      89
  105    1220      41
  106     652      68
  106    3772      90
  106    4130      75
  107    1473      78
  107    1867      69
  107    3423      88
  108     560      19
  108    1157      16
  108    1761       9
  109     714      23
  109     914      22
  109    1815      95
  110    1979      39
  111    4112      76
  112    2246       5
  112    4766      72
  113    4154      94
  114    2267      74
  115    3823       1
  116    3420       8
  116    4526      87
  117     689       1
  118     593      42
  118    1721      15
  119    3276      78
  120    3410      14
  121    4014      39
  122     449      12
  123     156      93
  123     333      38
  123    2448      44
  123    4612      13
  124    4565      29
  125     705      52
  125    1233      48
  126     450      49
  126    1853      24
  126    4307       2
  127    2056      51
  127    3034      19
  128    2772      46
  128    3676       9
  129    1581      90
  130    3502      29
  131    3396      39
  131    3894      24
  132     417      24
  132    1355       7
  133     188      16
  134    1623      38
  135    2330      48
  135    2671      19
  136    3049       7
  136    4157      77
  137    4256      51
  138    1548      61
  138    2946      57
  138    3025      86
  138    3331      79
  139     166      25
  139     461      92
  140    2241      54
  140    4084      30
  141    2449      74
  141    2733      99
  141    2857      98
  142     297      32
  142     432      96
  142    4575      19
  144    1448      32
  144    1950      95
  145    1524       9
  145    2233       7
  145    2334      38
  146    4292      18
  146    4513      58
  147     212      96
  147    4203      25
  148     468      23
  148    1623      91
  148    2050      77
  148    2848       5
  148    3711     100
  149    1546      39
  149    3095       9
  149    3213      60
  150    3993      25
  151     311      56
  151    2967      68
  151    3653      97
  152     652      69
  153    3487      66
  154    2301      45
  155     676      25
  155    1126      17
  155    1435      13
  155    3430      59
  155    4803      23
  156    3533      60
  156    3674      70
  157    3763       9
  158    2999      90
  159    2138      66
  160    2662       3
  161     259      14
  162    4805      28
  162    4863      47
  163    2032      18
  164     429      15
  165    2410      47
  165    4290      43
  166    4545      42
  167    4897     100
  168    2302      17
  168    3589      80
  169     426      25
  169     813      45
  169    4408      74
  170    1811      20
  170    2299      78
  170    4275      10
  170    4810      92
  171    1656      44
  172     560       9
  173    2041      47
  174     894      60
  174    3355      53
  174    4039      56
  175     915      15
  175    2606      52
  176    3984      28
  176    4264      23
  176    4421      77
  177     408      84
  177    2817      78
  178    1183      31
  179    2026      71
  180     351      46
  180    4084     100
  181     981      36
  181    1121       7
  181    2214      94
  181    3783      31
  181    4283      86
  181    4560       2
  182     790      14
  182    1458      21
  182    3614      96
  182    3987      49
  183    1203      69
  183    3537      67
  183    3903      89
  184     330      84
  184    1129      38
  184    1330      47
  184    1645      47
  184    2541      70
  184    2763      75
  185    2189      28
  186    3950      17
  186    4026      12
  186    4194      28
  187    3264      34
  188     446      25
  188    4083      95
  189    3629      34
  190    2510      84
  191     225      90
  192     925      20
  193     768       8
  193    3656       1
  194    3116      48
  195     600       8
  195    2488      25
  195    2920      57
  195    3980      16
  195    4660      97
  196    3571      70
  197    3562      24
  198     840      24
  199    2340      22
  199    2884      79
  199    3899      27
  200    2703      84
  200    3362      45
  201    2493      43
  203     681      30
  203    3178      22
  204     494      97
  205    1202      60
  205    2844      90
  205    4372       2
  205    4531      18
  205    4546       2
  205    4698      10
  206    1022      66
  206    2866      44
  206    3077      46
  207    3477      54
  208     257       9
  209     220      47
  209    2132      58
  209    3639      85
  210    2997      85
  210    4562      91
  211    2599      90
  211    3318      22
  213    2263      69
  214     696      74
  214    2617      15
  214    2730      37
  214    3246      48
  215     314      27
  216    1021      49
  216    1637      45
  216    1916      55
  216    3214      24
  216    3944      36
  217    1607      54
  218    1813      14
  219    1373       7
  219    4909      81
  220     643      43
  220    2887      70
  221     512      50
  221    1588      43
  222     251      79
  222     508      21
  222    1783      58
  222    1900      38
  222    3233      93
  223    3385       3
  224     277      11
  224     383      80
  224    1998      98
  224    2933      47
  224    3373      61
  224    4737       7
  224    4821      39
  225     229       8
  226    2119      20
  227     808      66
  227    1505      64
  227    3194      29
  228    4137      27
  229     867      46
  229    1384      84
  229    2593      56
  229    2627      12
  229    2801      37
  229    3542      35
  229    3973      52
  229    4108      28
  229    4769      69
  229    4788      20
  230    2238      63
  231    1163      90
  232     287     100
  233    3048      73
  234     990      50
  235    3878      91
  236    2777      88
  236    4985      56
  237    2022      54
  237    2856      39
  238    1631      25
  239     577      25
  239    4198      51
  240    2642      40
  241    1928      92
  242    3509      20
  243    2309      26
  243    2711      11
  243    2912      74
  243    3488      32
  243    3698       9
  243    3766      38
  243    4239      36
  244    4820      51
  245    2841      50
  246    4310      45
  247     695      86
  247    1648      30
  247    2367      45
  247    2461      33
  248    1818       1
  248    2800      51
  248    3501      62
  249     349      19
  249    4704      87
  249    4943      12
  250    2278       2
  250    2350      38
  250    2400      84
  251     929      71
  251    3227      78
  252     332      37
  253     769      60
  253    1873      25
  253    2060      26
  253    4297      44
  254     285       6
  254     932      93
  255     451      39
  256    2006      69
  257    1945      87
  258    1386      69
  258    2234       5
  258    3994      70
  258    4329      72
  258    4843      70
  258    4912      19
  259     274      37
  259    1392      45
  259    2735      96
  259    4447      56
  260    2536      80
  260    3530      56
  261    1050      80
  262    2322      46
  262    3042      99
  263     812      41
  263    2673      20
  263    4068      81
  264    4753      83
  264    4885      74
  265     530      10
  266    4305       3
  267     884      98
  267    4484      86
  268     978      91
  269    3657      86
  270    3606      19
  270    4128      56
  270    4361      58
  271    1756      12
  271    2554      75
  272    4111      48
  272    4117      37
  273     834      99
  273    2086      88
  275    4806       5
  276    1167       2
  276    1902     100
  276    4666       6
  278    3219      68
  279    4820       5
  280    1008       9
  280    1475      92
  280    4025      20
  281    4220      80
  281    4292      47
  283    4992      50
  283    4995      78
  284     288      24
  285    1507      86
  285    1700      39
  286     525      36
  286     691      72
  287    1370      61
  287    3028      22
  288    1101      33
  288    2418      72
  288    2583       7
  288    3663      16
  288    4822      93
  288    4865      76
  289    2681      26
  290    3214      48
  290    3655      97
  291     755      56
  291    3223      17
  292    3144      13
  293     375      79
  293     971      30
  294     600      14
  295    1755      64
  295    1767      81
  295    4703      49
  296    2553      57
  296    3973      43
  296    4227      35
  298    4833       9
  299    2842      74
  299    4551      54
  300    1446      52
  300    1707      28
  300    4394      52
  301    2461      84
  302    3048      54
  302    3673      24
  302    3735       9
  302    4528      95
  303    2462      84
  303    4202       2
  304     938      87
  304    1982      45
  304    3718      81
  304    4534      69
  305    1364      86
  305    2588      88
  305    2593      88
  305    3300      31
  306    4697       2
  307    1585      52
  307    2331      69
  307    3882      32
  308    1107      86
  308    3431       3
  309    2081      82
  310    3511       5
  310    4647      53
  312     492      87
  313    3572      50
  314    3081      24
  315    1970      65
  315    2007      37
  315    3500      77
  315    4545      10
  316    2303      95
  317    3138      11
  317    4508      83
  318     661     100
  318     783      34
  318    4397      48
  319    1782      17
  320    2157      70
  321    2907      46
  321    3504      71
  321    4238      21
  322    4456      77
  323     964      40
  323    4159      74
  323    4659      50
  324     547      72
  324    1925      76
  325    1210      61
  325    2710      58
  325    4086      65
  325    4782      62
  326    2768      31
  326    4782      44
  327     420      18
  328    1354      38
  328    1600      34
  329    3768      13
  330    2090      21
  330    3269      79
  330    4132      80
  331    1242      85
  331    2055      84
  331    2435      84
  332     956      43
  334     852       8
  335    2118      49
  335    4837      30
  336    2031      20
  337     808      84
  338     990      12
  339    4984      22
  341    1123      32
  342    4541      47
  343    4447      78
  344    4329      30
  345    1644      77
  346    3375      44
  346    4052       6
  347    1957      47
  347    2187      88
  347    2892      14
  347    4919      24
  348    1286      54
  348    1298      31
  348    2352      17
  348    4237      23
  350     752      81
  350    1795      32
  352    4735      44
  353    1332      43
  354    2873      58
  354    2996      20
  355    1809      63
  355    4821      82
  356    2935      58
  357    3957     100
  358     580       3
  358    3279      86
  359    1404     100
  359    1554       3
  359    4471      38
  360    4787      82
  361    4696      10
  363    1172      49
  363    4819      40
  364    1601      14
  365    1719      64
  365    4582      59
  366    3495      55
  367     491      34
  367     717      53
  367    2090      92
  367    3914      98
  367    3995      96
  368    1878      51
  369    3493      37
  370     901      86
  371    4992      42
  372    1024      72
  372    1831      66
  372    3556      60
  373     782      61
  373    3364      32
  374    1996       4
  376    1199      54
  376    2367      64
  377     794      22
  377    3497      64
  378     533      39
  378     767      82
  378    3570      43
  379     708      92
  380    3228      30
  381    1429      83
  381    1696      24
  382    2624      59
  382    4486      98
  384    2614     100
  385     747      80
  385    1018      84
  385    1462      40
  385    1603      24
  385    2061      40
  385    3957       8
  386    3744      53
  386    4266      93
  386    4896       3
  387     684      22
  387    1250      28
  387    2171      74
  387    3200      99
  387    3353      99
  388     727      25
  388    1814      50
  389     855      13
  390     879      22
  390    1757      50
  391    4410      29
  392     713      51
  393     773      22
  393    1696      20
  393    2902      34
  393    3757      82
  394    1100      98
  394    2428       5
  394    3703      59
  395    3810      31
  396     429      12
  396    3332      69
  397    1289      65
  397    2031      27
  397    3984      49
  398    4141      86
  399    1561      66
  400    3142      71
  400    3523      18
  401    1209      43
  402    1420      10
  403    1054      84
  403    4653      69
  403    4995      80
  403    4999      95
  404    2042      51
  404    3694      74
  405    2369      53
  405    3566      39
  406    3268      53
  407    1415      42
  407    4422      97
  408    2323      97
  408    3722      54
  408    4093      23
  409    4218       3
  409    4869      45
  410    4286      46
  411    3069      31
  412    3521      76
  413     929      20
  414    2888      40
  415    1257      26
  416    1733     100
  416    2336      24
  416    2977      73
  417     673      75
  417    2624      11
  418    3443      81
  418    3866       2
  419    2963      89
  420     462      67
  420    4393      47
  421    2985      98
  422    2829      23
  422    3736      51
  423    3182      65
  424    1115      30
  424    4168      34
  425    3898      27
  426    1440      16
  426    2017      31
  427    1156      73
  428     493      62
  428     895      71
  428    3308      32
  429    4701      78
  430     571      71
  430    1998      10
  431    1598      56
  431    3428       3
  431    3508      34
  432    2349      65
  432    3560      82
  432    4712      21
  433    2131      38
  433    4316      21
  434    3745      24
  435     575      10
  435    3498      67
  436    1003      24
  436    1107      40
  437     926      97
  437    3338      42
  438    1055       1
  439    1908      88
  440    4819      74
  441    4964      26
  442    4672      57
  443    1516      74
  443    2052      35
  443    2543      31
  444    4984      59
  445    1355      53
  447    1337      28
  448    4447      79
  449    2111      90
  449    2199      17
  449    3424      30
  449    3543      33
  450    1046      28
  450    3052      38
  451    1090      29
  451    2482      65
  451    3060      71
  452    4486      59
  452    4499      80
  453    4203      71
  454    2176      56
  455    4553       2
  456    1219       7
  457    4947      63
  458    1701      31
  458    3058      84
  458    3231      27
  458    3777      84
  459    3956      15
  460    2684      32
  462    3569      67
  463    3730      88
  463    4170       8
  463    4257      14
  464    3473       3
  465    1752      80
  465    2432      92
  465    3977       2
  466    2135      93
  467    2109      92
  467    2679      22
  467    3999      42
  467    4229       4
  468     756      72
  469    3693      22
  470    4767       8
  471     692      31
  472    1814      91
  472    3040      58
  472    3917       6
  472    4052      15
  472    4075      31
  472    4199      39
  473    1923      72
  473    4664      43
  474     715      66
  474    4221      25
  474    4791      91
  475    4451      33
  476    2841      24
  476    3311       6
  476    3865       7
  477    2131      80
  477    2619      65
  477    3608      14
  478    2425      50
  478    2655       9
  479    1084      34
  479    1712      21
  479    2768      69
  480     824      31
  480    1204      85
  481    2891      87
  482    2827       4
  482    3936      27
  483    1086      96
  483    2438      14
  483    3083      90
  484    1029      89
  484    1459      80
  484    2623      62
  484    3440      44
  484    4319      78
  485    4993       3
  486    4687      83
  487    1836      78
  487    2951      68
  488     550      38
  489     689      18
  489    3343       8
  489    4449       8
  490     679      44
  490    2077       2
  490    3451      95
  490    4473      18
  492    3402       6
  493     833      21
  493    2545      65
  494    2132      43
  494    4886      15
  495    2481      39
  495    3033      88
  495    4787     100
  496    3898       2
  497    2753      11
  498    4952      50
  499    4404      80
  500    4392      61
  501     833      58
  501    1582      59
  502    4694      52
  503    1776      23
  503    2124      13
  503    3313      47
  504    2292      79
  505    2112      68
  506    1248      60
  506    3024      37
  506    3818      99
  506    4816      94
  507    2289      86
  507    3493      66
  507    4085      35
  509    1833      46
  509    2600      44
  510    3092      63
  511    2112      30
  511    4585      67
  513    1659      67
  513    2707      19
  514    4986      60
  515    2247      24
  516    1960      71
  516    3709      43
  516    4989      42
  517    1582      75
  518    1687      50
  518    2143       5
  518    4716      43
  519     583      46
  519    1518       2
  519    2632      28
  519    4640      29
  520    1984      74
  520    3140      77
  521    1111      84
  521    2593      42
  521    2814      43
  522     809      73
  522    1233      43
