  500     550
    1     171      70
    1     227      78
    2      76      91
    2     165      93
    3     211      11
    4     304      55
    4     462      49
    5     500      54
    6      53      23
    6     282     100
    6     484      46
    7      46       4
    8     430      55
    8     432     100
    9     194      71
    9     340      57
   10     459      99
   11     252      98
   12      40      92
   12      99      74
   12     330      97
   12     412      28
   13     235      91
   14     293       3
   15     494      50
   16      43      15
   16     285      22
   16     421      81
   16     468      80
   17     251      57
   17     402      22
   18     136      44
   18     155      76
   18     220      45
   18     234       1
   19     236      75
   19     261      88
   19     302      91
   19     370      28
   20      72      26
   20      81      89
   20     289      78
   20     496      24
   21     215      35
   21     343      99
   21     419      93
   21     421      65
   21     461      89
   22     174      49
   23     162      34
   23     252      65
   23     292      43
   24     195      20
   24     500      97
   25      62       5
   25      99      30
   26      95      18
   26     285      27
   27     413      98
   28     170      96
   28     449       5
   29     112       2
   29     115      21
   30     119      58
   30     129      73
   31     262      10
   31     360      87
   32      67      41
   32     206      77
   32     258      56
   32     409      21
   33     219      92
   34     130      19
   34     202      64
   34     364      22
   35     185      93
   35     250      77
   36     130       8
   37     228       3
   37     460      18
   38     318      22
   38     347       3
   38     387      80
   39      73      55
   39      75       9
   39     107      42
   39     156      20
   39     240      32
   39     334       2
   40     133       1
   40     424      10
   41     117      74
   41     152      14
   41     288      34
   41     353      17
   41     371      98
   42     229      32
   42     238      52
   43     191      58
   44      56      22
   45     179      22
   46     284      81
   47      65      28
   47     397      25
   47     415      71
   48     194      48
   48     286      35
   48     422      92
   49     110       3
   49     288      34
   49     458      71
   50     187      32
   50     269      76
   51      95      66
   51     106      44
   51     148      55
   51     282      73
   51     301      84
   51     357      73
   51     467      72
   52      68       7
   54     427      37
   55     229      80
   55     259     100
   55     328      19
   56     134      60
   56     349       2
   56     360      78
   56     376      81
   57     368      64
   58     233      11
   58     491      55
   59     235      92
   59     434      49
   60     192      76
   60     400       4
   61     304      42
   62     140      60
   62     189       9
   63     318      52
   64     442      27
   64     476      14
   66     419      73
   67     456      44
   67     489      39
   68     118      34
   68     250      54
   68     278      90
   68     414      86
   69     291      49
   70     457      58
   71     255     100
   71     436      51
   72     254      42
   72     260      30
   72     329      45
   73     108      56
   73     184       9
   73     188      27
   73     370      55
   74      82      79
   74     278      59
   77      95      68
   77     360      82
   78      84      48
   79     308      59
   80     297      20
   81      86      90
   81     140      73
   81     187      77
   81     226       8
   81     282      53
   81     292      76
   81     393      21
   83     354      23
   84     133      96
   84     155      70
   84     193      80
   84     360      77
   84     395      34
   84     399      98
   84     400       2
   84     411      52
   84     465      80
   85     476      14
   86     132      86
   86     294     100
   86     415      71
   87     383      81
   88     122      46
   88     248      70
   88     265      95
   89     170      79
   89     433      80
   90     164      99
   91     116       1
   92     371      43
   93      96      98
   93     120      62
   94     160      32
   95     167      49
   95     258      29
   95     331      27
   96     239      82
   96     377      64
   97     385      56
   97     437      58
   98     111      18
   98     162      26
  100     112       5
  101     271      53
  101     278      10
  102     372     100
  103     451      25
  103     487      14
  104     230       4
  105     110      62
  105     383      92
  106     129      69
  106     486      84
  107     474      80
  108     297       7
  109     282       6
  109     330      28
  109     355      17
  110     127      50
  110     483      51
  112     415      95
  113     187      99
  114     350      52
  115     266      75
  115     401       2
  116     165      22
  116     204      43
  116     374      83
  116     394      93
  117     382      72
  117     417      81
  121     276      74
  121     496      33
  122     311      48
  122     460      21
  123     292       9
  123     398      62
  123     407      49
  124     284      77
  124     317      39
  125     167      46
  126     366      61
  126     445      30
  126     457      51
  128     237      10
  128     356      76
  131     408      45
  133     477      93
  134     176       3
  135     218      84
  137     174      49
  137     297      95
  137     356      49
  138     263      79
  138     408      57
  139     172       5
  141     374       9
  142     224       1
  143     421      72
  144     304      65
