processNum:12
processNum:12
processNum:12
processNum:12
processNum:12
processNum:12
processNum:12
processNum:12
processNum:12
processNum:12
processNum:12
processNum:12
pointNum:68000  rank:3  time:3.446674  
pointNum:80800  rank:5  time:3.446652  
pointNum:63200  rank:6  time:3.446669  
pointNum:96800  rank:9  time:3.446673  
pointNum:77600  rank:8  time:3.444744  
pointNum:49600  rank:1  time:3.433349  
pointNum:55200  rank:2  time:3.446397  
pointNum:32800  rank:4  time:3.447450  
pointNum:44000  rank:7  time:3.447577  
pointNum:45600  rank:11  time:3.450501  
pointNum:26400  rank:10  time:3.447480  
pointNum:0  rank:0  time:3.448446  
